success,time,distance,speed
1,14.85,69.3422562247,4.6695122037
1,14.718,69.4978536488,4.7219631505
1,10.923,69.5596279747,6.3681798018
1,12.441,69.3788307466,5.5766281446
1,14.652,69.3836890405,4.7354415125
1,12.507,69.4445212081,5.5524523233
1,14.85,69.3364461826,4.6691209551
1,14.85,69.4106250897,4.6741161677
1,10.923,69.5879291294,6.3707707708
1,12.342,69.3239936396,5.6169173262
1,14.685,69.4473897282,4.7291378773
1,12.606,69.3579263372,5.5019773391
1,14.85,69.3457508568,4.6697475324
1,14.322,69.5053165799,4.8530454252
1,10.923,69.3212583958,6.346357081
1,11.781,69.4684239606,5.8966491775
1,14.751,69.408476062,4.7053403879
1,12.639,69.3418735257,5.4863417617
1,14.85,69.3819028828,4.6721820123
1,14.784,69.3526515595,4.691061388
1,10.956,69.3310738992,6.3281374497
1,12.408,69.3405402146,5.5883736472
1,14.652,69.3288438422,4.7316983239
1,12.606,69.3928326193,5.5047463604
1,14.85,69.3603745773,4.6707322948
1,14.718,69.3609936271,4.7126643312
1,10.923,69.4759720194,6.360521104
1,11.946,69.3203773487,5.8028107608
1,14.718,69.3384439235,4.7111322139
1,12.606,69.4053777306,5.5057415303
1,14.85,69.3590803937,4.6706451444
1,14.85,69.4629167394,4.6776374909
1,10.89,69.5592111103,6.3874390368
1,12.408,69.3203973323,5.5867502686
1,14.751,69.3869783679,4.7038830159
1,12.474,69.3302548783,5.5579809907
1,14.85,69.3844694004,4.6723548418
1,14.685,69.4018642527,4.7260377428
1,10.89,69.5156260231,6.3834367331
0,36.6166,17.6861334118,0.4830086194
1,14.652,69.3459032222,4.7328626278
1,12.639,69.3439397668,5.486505243
1,14.85,69.3513261429,4.6701229726
1,14.685,69.4396239043,4.7286090503
1,10.923,69.5145795826,6.3640556242
1,12.507,69.4562376987,5.553389118
1,14.718,69.4054652031,4.7156859086
1,12.738,69.4448869629,5.4517888964
1,14.85,69.4127749514,4.6742609395
1,14.718,69.5076269227,4.7226271859
1,10.989,69.3525620634,6.3110894589
1,12.342,69.4769818402,5.6293130643
1,14.685,69.460721716,4.7300457416
1,12.705,69.5516090578,5.4743493946
1,14.85,69.4325537472,4.6755928449
1,14.223,69.5078257951,4.8870017433
1,10.956,69.6266336451,6.3551144254
1,12.474,69.4194041906,5.5651278011
1,14.685,69.4028655253,4.7261059261
1,12.639,69.3579996622,5.4876176645
1,14.85,69.3505854582,4.6700730948
1,14.685,69.5059248748,4.7331239275
1,10.89,69.3929179279,6.3721687721
1,12.342,69.3990611951,5.6229996107
1,14.652,69.3460881219,4.7328752472
1,12.54,69.3423145271,5.5296901537
1,14.85,69.3463466857,4.6697876556
1,14.817,69.3756652469,4.6821667846
1,10.659,69.3618813799,6.5073535397
1,12.375,69.4109124379,5.6089626212
1,14.685,69.4612909242,4.7300845028
1,12.672,69.3281905531,5.4709746333
1,14.85,69.3768197822,4.671839716
1,14.817,69.3301797865,4.6790969688
1,10.989,69.5756730154,6.3313925758
1,12.309,69.3223510373,5.6318426385
1,14.652,69.3710354252,4.7345779023
1,12.672,69.3765444301,5.474790438
1,14.85,69.3678641279,4.6712366416
1,14.256,69.4157461715,4.8692302309
1,10.956,69.6146264918,6.3540184823
1,12.507,69.4520530406,5.5530545327
1,14.718,69.4728853825,4.7202667062
1,12.606,69.4601456862,5.5100861246
1,14.85,69.3680174366,4.6712469654
1,14.817,69.4099481106,4.6844805366
1,10.791,69.3936358285,6.4306955638
